"korean","chinese","english","gender"
"아악","雅乐 (朝鲜)","Aak",""
"틀:김지운","Template:金知云","Template:Kim Jee-woon",""
"애프터스쿨","After School (组合)","After School (group)",""
"몬스터 (2016년 드라마)","Monster (电视剧)","Monster (South Korean TV series)",""
"인순이","仁顺伊","Insooni",""
"전소니","全少妮","Jeon So-nee",""
"전두환","全斗焕","Chun Doo-hwan",""
"천정하","千静荷","",""
"오현종","吴贤钟","",""
"엘라 (2008년)","埃拉·格萝丝","Ella Gross",""
"강신일","姜信一","Kang Shin-il",""
"안연홍","安妍红","",""
"안재현","安宰贤","Ahn Jae-hyun",""
"최부","崔溥","Choe Bu",""
"Y (가수)","崔诚允","",""
"최진원","崔镇源","",""
"박용식","朴容植","",""
"박동원","朴东原","Park Dong-won",""
"박희영 (정치인)","朴熙英","",""
"이경윤 (2000년)","李庚润","Kyoungyoon",""
"이필립","李必立","Lee Phillip",""
"이은혜 (탁구 선수)","李恩惠 (乒乓球运动员)","Lee Eun-hye",""
"이아이 (배우)","李我珥","",""
"이소정 (가수)","李昭政","Lee So-jung",""
"이해식","李海植","Lee Hae-sik",""
"이상설","李相卨","Yi Sangsŏl",""
"이소연 (쇼트트랙 선수)","李素妍 (短道速滑运动员)","Lee So-yeon (short-track speed skater)",""
"이채운","李超恩","Chaeun Lee",""
"금보라","琴宝罗","Geum Bo-ra",""
"백호민","白浩民","",""
"백예린","白艺潾","Yerin Baek",""
"대한민국 제1공화국","第一共和国 (大韩民国)","First Republic of Korea",""
"임해군","临海君","Prince Imhae",""
"최유주","裕姝","Choi Yu-ju",""
"조소앙","赵素昂","Jo So-ang",""
"곽지민","郭智敏","Kwak Ji-min",""
"아론 (1993년)","郭英敏","Aron (singer)",""
"정철","郑澈","Chŏng Ch'ŏl",""
"정성주 (극작가)","郑圣珠","",""
"정찬성","郑赞成","The Korean Zombie",""
"김정식 (연출가)","金政植","",""
"김영철 (1976년)","金泳澈","Kim Young-chul (footballer)",""
"김수흥 (1961년)","金洙兴","",""
"김예진 (쇼트트랙 선수)","金艺珍","Kim Ye-jin",""
"김정렬 (1917년)","金贞烈","Kim Chung-yul",""
"개성공업지구","开城工业地区","Kaesong Industrial Region",""
"진현빈","陈炫彬","Jeon Ji-hoo",""
"용성대군","龙城大君","",""
"틀:X1","Template:X1 (组合)","Template:X1 (band)",""
"루시 (밴드)","LUCY (乐团)","Lucy (South Korean band)",""
"샤넌 (가수)","Shannon (韩国歌手)","Shannon (South Korean singer)",""
"YG 엔터테인먼트","YG娱乐","YG Entertainment",""
"변재일","卞在一","",""
"여서정","吕书晶","Yeo Seo-jeong",""
"오성대","吴城垈","Oh Seong-dae",""
"함덕주","咸德柱","Ham Deok-ju",""
"다나 (가수)","喜悦Dana","Dana (South Korean singer)",""
"강재섭","姜在涉","Kang Jae-sup",""
"안소희","安昭熙","Ahn So-hee",""
"안지현 (치어리더)","安芝儇","",""
"윤승아","尹升娥","Yoon Seung-ah",""
"최배영","崔倍荣","Choi Bae-young",""
"최병찬","崔秉灿","Choi Byung-chan",""
"문승유","文升攸","",""
"세조 (조선)","朝鲜世祖","Sejo of Joseon",""
"주지훈","朱智勋","Ju Ji-hoon",""
"박항서","朴恒绪","Park Hang-seo",""
"박재범","朴载范","Jay Park",""
"박종훈 (체조 선수)","朴锺勋","Park Jong-hoon",""
"이동휘","李东辉 (1873年)","Yi Tonghwi",""
"이아름 (태권도 선수)","李雅凛 (跆拳道运动员)","Lee Ah-reum",""
"임지열","林志列","",""
"신현탁","申玹卓","",""
"백두진","白斗镇","Paik Too-chin",""
"귀인 정씨 (선조)","贵人郑氏 (朝鲜宣祖)","",""
"차민규","车旼奎","Cha Min-kyu",""
"곽대성","郭大成 (柔道运动员)","Kwak Dae-sung",""
"정우람","郑雨蓝","Jung Woo-ram",""
"김태우 (배우)","金太祐","Kim Tae-woo (actor)",""
"김혜옥","金惠玉","Kim Hye-ok",""
"김영재 (1975년)","金荣在","Kim Young-jae (actor, born 1975)",""
"김완 (탁구 선수)","金浣","Kim Wan",""
"김병준 (쇼트트랙 선수)","金秉俊","Kim Byeong-jun (speed skater)",""
"김집 (1574년)","金集","Kim Jip",""
"민현식","闵贤植","Min Hyun-sik",""
"한수아 (배우)","韩秀娥","",""
"대한민국의 대법관","韩国大法院法官","",""
"황의경","黄义庆","",""
"틀:봉준호","Template:奉俊昊","Template:Bong Joon Ho",""
"SM 엔터테인먼트","SM娱乐","SM Entertainment",""
"캐리비안 베이","加勒比海湾","Caribbean Bay",""
"강경진 (배드민턴인)","姜京珍","Kang Kyung-jin",""
"강경애","姜敬爱","Kang Kyŏng-ae",""
"송요찬","宋尧赞","Song Yo-chan",""
"그래, 그런거야","对，就是那样","",""
"윤장현","尹壮铉","",""
"윤태호","尹胎镐","Yoon Tae-ho",""
"젠블루 (대만 그룹)","幻蓝小熊","Genblue",""
"조영욱 (축구 선수)","曹永旭","Cho Young-wook",""
"박규수","朴珪寿","Pak Kyusu",""
"박미라 (핸드볼 선수)","朴美罗 (手球运动员)","Park Mi-ra",""
"이일형 (영화 감독)","李一炯","Lee Il-hyung",""
"이철승","李哲承 (1922年)","Lee Cheol-seung",""
"이학영","李学永","Lee Hack-young",""
"이도엽","李度烨","Lee Do-yeop",""
"이문정 (배우)","李文贞 (1989年)","",""
"이유빈","李有彬","Lee Yu-bin",""
"이근안","李根安","",""
"양혜지 (배우)","杨惠智","Yang Hye-ji",""
"홍윤성","洪允成","Hong Yunsŏng",""
"헌경왕후","献敬王后","Lady Hyegyŏng",""
"신승호","申承浩","Shin Seung-ho",""
"신익희","申翼熙","Sin Ik-hui",""
"두 번째 시그널","第二个信号","",""
"나원탁","罗元卓","",""
"허경환","许卿焕","Heo Kyung-hwan",""
"현영","贤荣","Hyun Young",""
"정은지","郑恩地","Jung Eun-ji",""
"정경호 (1983년)","郑敬淏","Jung Kyung-ho",""
"김선화 (1971년)","金善华","",""
"김계령","金季昑","Kim Kwe-ryong",""
"김장미","金将美","Kim Jang-mi",""
"김두한","金斗汉","Kim Du-han",""
"김유미 (1979년)","金有美","Kim Yoo-mi (actress)",""
"김근태 (1947년)","金槿泰","Kim Geun-tae",""
"김민지 (배우)","金珉志","Kim Min-ji (actress)",""
"김소혜","金素慧","Kim So-hye",""
"김영성 (배우)","金英成","",""
"김유정 (배우)","金裕贞 (演员)","Kim You-jung",""
"한무영","韩武荣","Moo-Young Han",""
"틀:대전광역시장","Template:大田广域市长","",""
"틀:충청북도지사","Template:忠清北道知事","",""
"제2회 전국동시지방선거","1998年大韩民国地方选举","1998 South Korean local elections",""
"신우 (가수)","CNU (歌手)","CNU (singer)",""
"클레오","Cleo (女子团体)","Cleo (group)",""
"아이유의 수상 및 후보 목록","IU获奖与提名列表","List of awards and nominations received by IU",""
"레나 (2002년)","Lena (韩国)","",""
"정규수 (배우)","丁奎秀","",""
"인재근","印在谨","In Jae-keun",""
"오현민","吴炫旻","Oh Hyun-min",""
"기도훈","奇道勋","Ki Do-hoon",""
"강말금","姜末今","Kang Mal-geum",""
"안세영","安洗莹","An Se-young",""
"송태곤","宋泰坤","Song Tae-kon",""
"최우혁 (1993년)","崔佑赫","",""
"장현식","张现植","Jang Hyun-sik",""
"표혜미","慧美","",""
"문성주","文圣珠","",""
"박보경 (1981년)","朴宝京","Park Bo-kyung",""
"박신양","朴新阳","Park Shin-yang",""
"박태호 (1952년)","朴泰镐","",""
"박예진","朴艺珍","Park Ye-jin",""
"이득춘","李得春 (羽毛球运动员)","Lee Deuk-choon",""
"이지훈 (연예인)","李志勋 (1979年)","Lee Ji-hoon (entertainer)",""
"이유연","李有渊","Lee Yoo-yeon",""
"심순택","沈舜泽","Sim Sunt'aek",""
"에버랜드","爱宝乐园","Everland",""
"신성록","申成禄","Shin Sung-rok",""
"백혜련","白惠莲","Back Hye-ryun",""
"우군칙","禹君则","",""
"차래형","车来亨","",""
"차준호","车俊昊","",""
"정윤혜","郑允惠","",""
"김혜순","金惠顺","Kim Hyesoon",""
"휘영","金泳均","Hwiyoung",""
"김민석 (탁구 선수)","金珉锡","Kim Min-seok (table tennis)",""
"김영아 (1975년)","金英雅","",""
"김진원 (PD)","金镇元","",""
"민치구","闵致久","",""
"K (가수)","K (歌手)","K (singer)",""
"유한식","俞汉植","",""
"전우근","全雨根","Jeon Woo-keun",""
"6.29 선언","六二九宣言","June 29 Declaration",""
"남궁원","南宫远","Namkoong Won",""
"오승훈 (배우)","吴承勋","Oh Seung-hoon (actor)",""
"오세정 (물리학자)","吴世正 (物理学家)","Oh Se-jung",""
"엄기준","严基俊","Um Ki-joon",""
"강성태 (부산시 정치인)","姜成泰","",""
"안판석","安畔锡","Ahn Pan-seok",""
"송민호","宋旻浩","Mino (rapper)",""
"윤극영","尹克荣","",""
"윤영숙","尹映淑","Yun Young-sook",""
"윤정희 (1944년)","尹静姬","Yoon Jeong-hee",""
"최인정","崔仁贞","Choi In-jeong",""
"최규서","崔奎瑞 (朝鲜)","",""
"최성은","崔成恩","Choi Sung-eun",""
"장이진 (농구인)","张利镇","Chang Ri-jin",""
"장서희","张瑞希","Jang Seo-hee",""
"서동원 (배우)","徐东沅","",""
"서휘민","徐辉旻","Seo Whi-min",""
"박수홍","朴修弘","Park Soo-hong",""
"박해진","朴海镇","Park Hae-jin",""
"박기량 (치어리더)","朴骐良","",""
"이용재 (축구 선수)","李勇载","Lee Yong-jae",""
"이은형 (배우)","李垠亨","Lee Eun-hyung",""
"이일화","李壹花","Lee Il-hwa",""
"임유환","林裕焕","Lim You-hwan",""
"권태하","权泰夏","Taika Gon",""
"심재민","沈载敏","Shim Jae-min",""
"현우성","玄宇成","Hyun Woo-sung",""
"진안 (농구 선수)","秦安 (篮球运动员)","Jin An",""
"제4공화국 (드라마)","第四共和国 (电视剧)","",""
"문경 양민 학살 사건","闻庆平民屠杀事件","Mungyeong massacre",""
"설인아","薛仁雅","Seol In-ah",""
"배제성","裴齐晟","",""
"조한준 (배우)","赵汉俊","",""
"차동민 (태권도 선수)","车东旻","Cha Dong-min",""
"김형석 (연출가)","金亨硕","",""
"나현 (1995년)","金娜炫","",""
"김종직","金宗直","Kim Chong-jik",""
"김응수 (배우)","金应洙","Kim Eung-soo",""
"선우정아","鲜于贞娥","Sunwoo Jung-a",""
"딘 (가수)","Dean (歌手)","Dean (South Korean singer)",""
"여자친구의 음반 외 활동 목록","GFRIEND影视作品列表","GFriend videography",""
"개리 (래퍼)","Gary (韩国歌手)","Gary (rapper)",""
"유승호","俞承豪","Yoo Seung-ho",""
"용감한 형제","勇敢兄弟","Brave Brothers",""
"남창희 (희극인)","南昶熙","",""
"오우리","吴宇里","Oh Woo-ri",""
"오연천","吴然天","Yeon Cheon Oh",""
"엄혜원","严惠媛","Eom Hye-won",""
"안중근","安重根","An Jung-geun",""
"송선미","宋善美","Song Seon-mi",""
"소녀주의보","少女注意报","",""
"윤상호 (배우)","尹尚浩","",""
"윤석호 (연출가)","尹锡湖","Yoon Seok-ho",""
"최란 (작가)","崔兰 (编剧)","",""
"서재응","徐在应","Jae Weong Seo",""
"문소리","文素利","Moon So-ri",""
"박규리","朴奎利","Park Gyu-ri",""
"박태건 (육상 선수)","朴泰健","Park Tae-geon",""
"박정란","朴贞兰","",""
"이주영 (1992년)","李周映","Lee Joo-young (actress, born 1992)",""
"이효나","李孝娜","Lee Hyo-na",""
"이소라 (가수)","李素罗","Lee So-ra (singer)",""
"류태준","柳太准","Ryu Tae-joon",""
"양효진","梁孝真","Yang Hyo-jin",""
"심덕부","沈德符 (朝鲜)","",""
"하태경","河泰庆","Ha Tae-keung",""
"홍리나","洪利奈","Hong Ri-na",""
"임을 위한 행진곡","献给你的进行曲","March for the Beloved",""
"메이 홍","玫·洪","May Hong",""
"신재효","申在孝","Shin Jae-hyo",""
"신해철","申海澈","Shin Hae-chul",""
"신주아","申珠雅","",""
"류진 (가수)","留真","Ryujin (rapper)",""
"목진석","睦镇硕","Mok Jin-seok",""
"짤툰","短漫","",""
"배그린","裴格林","Bae Geu-rin",""
"양녕대군","让宁大君","Grand Prince Yangnyŏng",""
"정태화","郑太和","",""
"정성곤","郑盛坤","",""
"김건모","金健模","Kim Gun-mo",""
"김나연 (치어리더)","金娜妍","",""
"김도완 (배우)","金度完","Kim Do-wan",""
"황민현","黄旼炫","Hwang Min-hyun",""
"틀:스타제국","Template:明星帝国娱乐","Template:Star Empire Entertainment",""
"워너원의 음반 목록","Wanna One音乐作品列表","Wanna One discography",""
"경기도지사","京畿道知事","Governor of Gyeonggi Province",""
"유진선 (테니스 선수)","俞镇先","Yoo Jin-sun",""
"전혜진 (1970년)","全惠珍","",""
"전민희","全民熙","Jeon Min-hee",""
"구인회 (기업인)","具仁会","Koo In-hwoi",""
"천정명","千正明","Chun Jung-myung",""
"여갑순","吕甲顺","Yeo Kab-soon",""
"강훈 (배우)","姜勋","Kang Hoon",""
"안희정","安熙正","Ahn Hee-jung",""
"송세라","宋世罗","Song Se-ra",""
"윤아정","尹儿贞","Yoon A-jung",""
"최성민 (1973년)","崔成民","",""
"연지승","延美珠","",""
"호텔 델루나","德鲁纳酒店","Hotel del Luna",""
"지리산 (2021년 드라마)","智异山 (电视剧)","Jirisan (TV series)",""
"박지성","朴智星","Park Ji-sung",""
"박환희","朴焕熙","Park Hwan-hee",""
"박성수 (연출가)","朴圣洙","",""
"이시원 (배우)","李偲源","Lee Si-won",""
"이주우","李姝雨","Lee Joo-woo",""
"이규성 (배우)","李揆成","Lee Kyu-sung",""
"이태환 (배우)","李泰焕","Lee Tae-hwan",""
"이해인 (피겨스케이팅 선수)","李海仁 (花样滑冰运动员)","Lee Hae-in (figure skater)",""
"이해영 (1970년)","李海英","Lee Hae-young (actor)",""
"이병헌 (영화 감독)","李炳宪 (导演)","Lee Byeong-heon (filmmaker)",""
"이병무","李秉武","Yi Byeong-mu",""
"지유찬","池裕灿","Ji Yu-chan",""
"홍창선","洪昌善","",""
"신새봄","申赛范","Shin Sae-bom",""
"백만장자의 첫사랑","百万富翁的初恋","A Millionaire's First Love",""
"비밀남녀","秘密男女","The Secret Lovers",""
"허영생","许永生","Heo Young-saeng",""
"조현우","赵贤祐","Jo Hyeon-woo",""
"변우석","边佑锡","Byeon Woo-seok",""
"정수영 (배우)","郑秀英","Jung Soo-young",""
"김동현 (봅슬레이 선수)","金东炫 (雪车运动员)","Kim Dong-hyun (bobsledder)",""
"김경률 (당구 선수)","金京律","Kim Kyung-roul",""
"김민재 (1979년)","金珉才","Kim Min-jae (actor, born 1979)",""
"김지석 (배우)","金知硕","Kim Ji-seok (actor)",""
"김범석 (1970년)","金范锡","",""
"대한민국의 아이돌 그룹 목록","韩国流行音乐团体列表","List of South Korean idol groups",""
"한혜진 (모델)","韩惠珍 (模特儿)","Han Hye-jin (model)",""
"고산 (기업인)","高山 (宇航员)","Ko San",""
"황찬현","黄赞铉","",""
"어썸이엔티","Awesome娱乐","",""
"제시카 (1989년)","Jessica (韩裔歌手)","Jessica Jung",""
"펜타곤 (음악 그룹)","Pentagon (男子组合)","Pentagon (South Korean band)",""
"창조 (가수)","创造 (歌手)","Changjo",""
"남민정","南珉贞","",""
"오승아","吴丞芽","Oh Seung-ah",""
"아내의 유혹","妻子的诱惑","Temptation of Wife (South Korean TV series)",""
"강민아","姜旻儿","Kang Min-ah",""
"강현주 (작가)","姜炫珠","",""
"강상우","姜祥佑","Kang Sang-woo",""
"윤치창","尹致昌","Yun Chi-chang",""
"최윤희 (수영 선수)","崔允喜","Choi Yun-hui",""
"최종훈 (1990년)","崔钟训","Choi Jong-hoon",""
"장훈 (1975년)","张薰 (韩国导演)","Jang Hoon",""
"은수 좋은 날","恩秀的好日子","Walking on Thin Ice (TV series)",""
"연예인 매니저로 살아남기 (대한민국의 드라마)","明星经纪人生存记","Behind Every Star",""
"숙종 (조선)","朝鲜肃宗","Sukjong of Joseon",""
"박호산","朴呼山","Park Ho-san",""
"박정양","朴定阳","Pak Chŏngyang",""
"박용순","朴容顺","",""
"권순우","权纯雨","Kwon Soon-woo",""
"이도현 (1995년)","李到𬀪","Lee Do-hyun",""
"완창대군","李子兴","Yi Chahŭng",""
"이용섭","李庸燮","Lee Yong-seop",""
"이청아","李清娥","Lee Chung-ah",""
"이미선 (법조인)","李美善 (法官)","Lee Mison",""
"이현승 (야구인)","李贤承","Lee Hyun-seung (baseball)",""
"이한열","李韩烈","Lee Han-yeol",""
"유태양","柳太阳","",""
"권혁규","权赫奎","Kwon Hyeok-kyu",""
"전우치 (영화)","田禹治 (电影)","Jeon Woo-chi: The Taoist Wizard",""
"나홍진","罗泓轸","Na Hong-jin",""
"나성승","罗圣胜","Na Sung-seung",""
"차순배","车顺裴","",""
"정다소미","郑多素美","Jung Dasomi",""
"정혜영","郑惠英","Jung Hye-young",""
"김구라","金九拉","Kim Gu-ra",""
"김사랑 (배우)","金思朗","Kim Sa-rang (actress)",""
"김민찬 (1958년)","金旻澯","",""
"김경협","金炅侠","",""
"김현곤 (쇼트트랙 선수)","金炫坤","Kim Hyun-kon",""
"김재원 (2001년 배우)","金载原","Kim Jae-won (actor, born 2001)",""
"김진서 (피겨스케이팅 선수)","金镇瑞","Kim Jin-seo",""
"황영시","黄永时","",""
"제7회 전국동시지방선거","2018年大韩民国地方选举","2018 South Korean local elections",""
"우효","于孝恩","Oohyo",""
