"japanese","chinese","romaji","gender"
"朽木白哉","朽木白哉","Byakuya Kuchiki",""
"村上藍","村上蓝","Ai Murakami",""
"桐畑和繁","桐畑和繁","Kazushige Kirihata",""
"武下利一","武下利一","Riichi Takeshita",""
"武田健吾","武田健吾","Kengo Takeda",""
"津島三敏","津岛三敏","Mitsutoshi Tsushima",""
"田中マルクス闘莉王","田中斗莉王","Marcus Tulio Tanaka",""
"石井優希","石井优希","Yuki Ishii",""
"石川康","石川康","Ko Ishikawa",""
"藤口光紀","藤口光纪","Mitsunori Fujiguchi",""
"谷口正朋","谷口正朋","Masatomo Taniguchi",""
"高師康","高师康","Ko Takamoro",""
"齋藤栞","斋藤栞","Shiori Saito",""
"中島宏之","中岛裕之","Hiroyuki Nakajima",""
"中村聖","中村圣","Kiyoshi Nakamura (footballer)",""
"原口元気","原口元气","Genki Haraguchi",""
"堀内恒夫","堀内恒夫","Tsuneo Horiuchi",""
"大道典良","大道典嘉","Noriyoshi Omichi",""
"山田隆裕","山田隆裕","Takahiro Yamada (footballer)",""
"川上憲伸","川上宪伸","Kenshin Kawakami",""
"廣部好輝","广部好辉","Yoshiteru Hirobe",""
"戸塚哲也","户冢哲也","Tetsuya Totsuka",""
"池内豊 (サッカー選手)","池内丰","Yutaka Ikeuchi",""
"渡邉一平","渡边一平","Ippei Watanabe (footballer)",""
"渡辺淳一 (サッカー選手)","渡边淳一 (足球运动员)","Junichi Watanabe (footballer)",""
"田畑輝樹","田畑辉树","Teruki Tabata",""
"福田健二","福田健二","Kenji Fukuda",""
"フリオ・フランコ","胡立欧·法兰柯","Julio Franco",""
"藤井裕久","藤井裕久","Hirohisa Fujii",""
"近藤勇","近藤勇","Kondō Isami",""
"三宅義信","三宅义信","Yoshinobu Miyake",""
"上村愛子","上村爱子","Aiko Uemura",""
"中澤雅人","中泽雅人","Masato Nakazawa",""
"久保裕也 (サッカー選手)","久保裕也 (足球运动员)","Yūya Kubo (footballer)",""
"今野安子","今野安子","Yasuko Konno",""
"関一人","关一人","Kazuto Seki",""
"千葉泰伸","千叶泰伸","Yasunobu Chiba",""
"吉田光範","吉田光范","Mitsunori Yoshida",""
"周東佑京","周东佑京","Ukyo Shuto",""
"国吉佑樹","国吉佑树","Yuki Kuniyoshi",""
"外崎修汰","外崎修汰","Shuta Tonosaki",""
"宮澤崇史","宫泽崇史","Takashi Miyazawa",""
"山口慶","山口庆","Kei Yamaguchi",""
"杉山愛","杉山爱","Ai Sugiyama",""
"李性求","李性求","Seikyu Ri",""
"東富士欽壹","东富士钦壹","Azumafuji Kin'ichi",""
"松井聰","松井聪","Satoshi Matsui",""
"松田丈志","松田丈志","Takeshi Matsuda",""
"林大地 (サッカー選手)","林大地","Daichi Hayashi",""
"桂依央利","桂依央利","Iori Katsura",""
"永井秀昭","永井秀昭","Hideaki Nagai",""
"琴勝峰吉成","琴胜峰吉成","Kotoshōhō Yoshinari",""
"田中湧士","田中涌士","Yushi Tanaka",""
"田代有三","田代有三","Yūzō Tashiro",""
"石井貴","石井贵","Takashi Ishii (baseball)",""
"蒲池猛夫","蒲池猛夫","Takeo Kamachi",""
"藤田学 (バスケットボール)","藤田学 (篮球运动员)","Manabu Fujita",""
"西谷泰治","西谷泰治","Taiji Nishitani",""
"鈴木リカルド","铃木里卡尔多","Ricardo Suzuki",""
"鈴木雄介","铃木雄介","Yusuke Suzuki (race walker)",""
"长谷等","长谷等","Hitoshi Hase",""
"隆の勝伸明","隆之胜伸明","Takanoshō Nobuaki",""
"馬原孝浩","马原孝浩","Takahiro Mahara",""
"馬瓜ステファニー","马瓜斯蒂芬妮","Stephanie Mawuli",""
"鵜藤俊平","鹈藤俊平","Shunpei Uto",""
"一岡竜司","一冈龙司","Ryuji Ichioka",""
"内田篤人","内田笃人","Atsuto Uchida",""
"土屋圭市","土屋圭市","Keiichi Tsuchiya",""
"堺井秀雄","堺井秀雄","Hideo Sakai",""
"大塚博紀","大冢博纪","Hironori Ōtsuka",""
"大塚真司","大冢真司","Shinji Otsuka",""
"大瀬戸一馬","大濑户一马","Kazuma Ōseto",""
"山下義韶","山下义韶","Yamashita Yoshitsugu",""
"川田利明","川田利明","Toshiaki Kawada",""
"木村哲昌","木村哲昌","Tetsumasa Kimura",""
"杉本雅央","杉本雅央","Masao Sugimoto",""
"杉浦忠","杉浦忠","Tadashi Sugiura",""
"森山良二","森山良二","Ryoji Moriyama",""
