"russian","chinese","gender"
"Фёдор Литке","费奥多尔·彼得罗维奇·利特克",""
"Алексей Леонтьев","阿列克谢·尼古拉耶维奇·列昂季耶夫",""
"Аркадий Ваксберг","阿尔卡季·约瑟夫维奇·瓦克斯贝格",""
"Анатолий Иванов","阿纳托利·彼得罗维奇·伊万诺夫",""
"Яков Давтян","雅科夫·达维多夫",""
"Рубен Варданян","鲁本·瓦尔达尼扬",""
"Борис Полевой","鲍里斯·波列伏依",""
"Динмухамед Кунаев","丁穆罕默德·库纳耶夫",""
"Александр Коваленко","亚历山大·弗拉索维奇·科瓦连科",""
"Александр Новиков","亚历山大·诺维科夫",""
"Александр Захарченко","亚历山大·扎哈尔琴科",""
"Элизабет Шумахер","伊丽莎白·舒马赫",""
"Ирина Пресс","伊琳娜·普雷斯",""
"Пресс-секретарь президента России","俄罗斯总统新闻秘书",""
"Леонид Ткаченко","列昂尼德·特卡琴科",""
"Карл Сяре","卡尔·萨雷",""
"Евгений Леонов","叶夫根尼·列昂诺夫",""
"Евгений Михайлов","叶夫根尼·尼古拉耶维奇·米哈伊洛夫",""
"Татьяна Николаева","塔季扬娜·尼古拉耶娃",""
"Татьяна Шевцова","塔季扬娜·舍夫佐娃",""
"Анна Дементьева","安娜·德门蒂耶娃",""
"Андрей Ерёменко","安德烈·叶廖缅科",""
"Юрий Петров","尤里·亚历山德罗维奇·彼得罗夫",""
"Юрий Никифоров","尤里·尼基福罗夫",""
"Юрий Цветков","尤里·弗拉基米罗维奇·茨维特科夫",""
"Николай Ураков","尼古拉·乌拉科夫",""
"Николай Угланов","尼古拉·乌格拉诺夫",""
"Николай Гирс","尼古拉·吉尔斯",""
"Константин Циолковский","康斯坦丁·齐奥尔科夫斯基",""
"Владимир Толмачёв","弗拉基米尔·尼古拉耶维奇·托尔马乔夫",""
"Владимир Потёмкин","弗拉基米尔·波将金",""
"Владимир Сосюра","弗拉基米尔·索秀拉",""
"Владислав Резник","弗拉季斯拉夫·列兹尼克",""
"Пётр Святополк-Мирский","彼得·斯维亚托波尔克-米尔斯基",""
"Дмитрий Вяткин","德米特里·维亚特金",""
"Байкен Ашимов","拜肯·阿希莫夫",""
"Георгий Данелия","格奥尔基·达涅利亚",""
"Мария Львова-Белова","玛丽亚·利沃娃-别洛娃",""
"Михаил Левандовский","米哈伊尔·列万多夫斯基",""
"Михаил Царёв","米哈伊尔·察廖夫",""
"Михайловское (музей-заповедник)","米哈伊洛夫斯科耶博物馆",""
"Мир Якубов","米尔-铁穆尔·雅库波夫",""
"Виктор Стукалин","维克托·斯图卡林",""
"Виталий Ефимов","维塔利·鲍里索维奇·叶菲莫夫",""
"Роза Люксембург","罗莎·卢森堡",""
"Султан Ибраимов","苏丹·伊布赖莫夫",""
"Список руководителей СССР","苏联最高领导人列表",""
"Данг Ван Лам","邓文林",""
"Алексей Корниенко","阿列克谢·维克托罗维奇·科尔尼延科",""
"Аркадий Воробьёв","阿尔卡季·沃罗比约夫",""
"Абид Садыков","阿比德·萨迪科夫",""
"Яков Тряпицын","雅科夫·特里亚皮岑",""
"Максим Фадеев","马克西姆·法捷耶夫",""
