"russian","chinese","gender"
"Совет безопасности Российской Федерации","俄罗斯联邦安全会议",""
"Ксения Горячева","克谢尼娅·戈里亚切娃",""
"Леонид Смирнов","列昂尼德·瓦西里耶维奇·斯米尔诺夫",""
"Карл Александр Саксен-Веймар-Эйзенахский","卡尔·亚历山大 (萨克森-魏玛-爱森纳赫)",""
"Евгений Башинджагян","叶夫根尼·巴申贾吉扬",""
"Евгений Лебедев","叶夫根尼·维克托罗维奇·列别杰夫",""
"Тамара Дегтярёва","塔玛拉·捷格佳廖娃",""
"Ольга Голодец","奥莉加·戈洛杰茨",""
"Пётр Ольденбургский","奥尔登堡的彼得公爵 (1812年—1881年)",""
"Анжела Бладцева","安热拉·布拉德采娃",""
"Юрий Брежнев","尤里·勃列日涅夫",""
"Николай Крестинский","尼古拉·克列斯京斯基",""
"Николай Борцов","尼古拉·博尔佐夫",""
"Никола Сталь","尼古拉·德·斯塔埃尔",""
"Николай Егоров","尼古拉·马克西莫维奇·叶戈罗夫",""
"Владимир Долгих","弗拉基米尔·多尔吉赫",""
"Владимир Синяговский","弗拉基米尔·西尼亚戈夫斯基",""
"Культ личности Путина","普京崇拜",""
"Эрнест Дрезен","欧内斯特·德雷仁",""
"Олег Брыжак","欧雷格·布里札克",""
"Валентина Артамонова","瓦莲京娜·阿尔塔莫诺娃",""
"Михаил Щапов","米哈伊尔·夏波夫",""
"Михаил Фриновский","米哈伊尔·弗里诺夫斯基",""
"Михаил Ульянов","米哈伊尔·乌里扬诺夫",""
"Михаил Шолохов","米哈伊尔·萧洛霍夫",""
"Роберт Эйхе","罗伯特·埃赫",""
"Роман Водянов","罗曼·沃佳诺夫",""
"Айсен Николаев","艾森·尼古拉耶夫",""
"Лина Тынель","莉娜·特涅利",""
"Филипп Медведь","菲利普·梅德韦季",""
"Сатоми Хакамада","袴田里见",""
"Семён Номоконов","谢苗·诺莫科诺夫",""
"Даля Грибаускайте","达利娅·格里包斯凯特",""
"Алексей Ситников","阿列克谢·弗拉基米罗维奇·西特尼科夫",""
"Алексей Михайличенко","阿列克谢·米哈伊利琴科",""
"Ахметжан Касыми","阿合买提江·哈斯木",""
"Яков Рябов","雅科夫·里亚博夫",""
"Вероника Белоцерковская","韦罗妮卡·别洛采尔科夫斯卡娅",""
"Вениамин Дымшиц","韦尼阿明·迪姆希茨",""
"Рудольф (кронпринц Австрии)","鲁道夫 (奥地利皇储)",""
"Борис Слуцкий","鲍里斯·阿布拉莫维奇·斯卢茨基",""
"Визит Владимира Путина в КНДР (2024)","2024年弗拉基米尔·普京访问朝鲜",""
"Уральский государственный технический университет","乌拉尔国立技术大学",""
"Александр Глазунов","亚历山大·格拉祖诺夫",""
"Александра Панова","亚历山德拉·帕诺娃",""
"Александр Кобрин","亚历山大·寇伯林",""
"Иван Воловченко","伊万·沃洛夫琴科",""
"Леонид Рошаль","列昂尼德·罗沙尔",""
"Либертас Шульце-Бойзен","利贝塔斯·舒尔茨-博伊森",""
"Эрл Браудер","厄尔·白劳德",""
"Евгений Первышов","叶夫根尼·佩尔维绍夫",""
"Элисо Вирсаладзе","埃莉索·维尔萨拉泽",""
"Татьяна Гуцу","塔季扬娜·古楚",""
"Тамара Фролова","塔玛拉·弗罗洛娃",""
"Олег Лебедев","奥列格·亚历山德罗维奇·列别杰夫",""
"Олег Цеков","奥列格·采科夫",""
"Надежда Петрова","娜佳·彼得罗娃",""
"Анна Курникова","安娜·库妮可娃",""
"Анна Скрозникова","安娜·斯克罗兹尼科娃",""
"Юрий Малышев","尤里·尼古拉耶维奇·马雷舍夫",""
"Юрий Зуев","尤里·阿列克谢耶维奇·祖耶夫",""
"Николай Чаплин","尼古拉·恰普林",""
"Николай Невский","尼古拉·聂甫斯基",""
"Отодзо Ямада","山田乙三",""
"Павел Павлов","帕维尔·安德烈耶维奇·帕夫洛夫",""
"Владимир Софроницкий","弗拉基米尔·索夫罗尼茨基",""
"Сёстры Толмачёвы","托尔玛琪夫双胞胎姐妹",""
"Пулат Хабибуллаев","普拉特·哈比布拉耶夫",""
"Фазу Алиева","法祖·阿里耶娃",""
"Генрих Нейгауз","海因里希·涅高兹",""
"Дзига Вертов","狄嘉·维托夫",""
"Вацлав Нижинский","瓦斯拉夫·尼金斯基",""
"Василий Емельянов","瓦西里·叶梅利扬诺夫",""
"Тэйдзо Такэути","竹内悌三",""
"Михаил Барышников","米哈伊尔·巴里什尼科夫",""
"Виктор Дубовой","维克托·维克托罗维奇·杜博沃伊",""
"Вероника Дударова","维罗尼卡·杜达洛娃",""
"Роман Павлюченко","罗曼·帕夫柳琴科",""
"Фридрих Евгений (герцог Вюртемберга)","腓特烈二世·欧根",""
"Филипп Бобков","菲利普·博布科夫",""
"Самед Вургун","萨麦德·武尔贡",""
"Сергей Семёнов","谢尔盖·谢尔盖耶维奇·谢苗诺夫",""
"Алексей Диденко","阿列克谢·季坚科",""
"Абдуразак Мавлянов","阿卜杜拉扎克·马夫利亚诺夫",""
"Арминас Нарбековас","阿尔米纳斯·纳尔贝科瓦斯",""
"Яша Хейфец","雅沙·海菲茨",""
"Вениамин Каган","韦尼阿明·卡甘",""
"Максим Горький","马克西姆·高尔基",""
"Александр Пристор","亚历山大·普里斯托尔",""
"Александр Баркашов","亚历山大·巴尔卡绍夫",""
"Иван Александров","伊万·彼得罗维奇·亚历山德罗夫",""
"Клара Румянова","克拉拉·鲁米扬诺娃",""
"Лен Карпинский","列恩·卡尔平斯基",""
"герцог Георг","剑桥公爵乔治王子",""
"Габдулла Чуланов","加布杜拉·丘拉诺夫",""
"Бободжан Гафуров","博博占·加富罗夫",""
"Гиви Джавахишвили","吉维·贾瓦希什维利",""
"Ольга Корбут","奥莉加·科尔布特",""
"Вильгельм Хозенфельд","威尔姆·欧森菲德",""
"Анна Цивилёва","安娜·齐维廖娃",""
"Андрей Таюрский","安德烈·塔尤尔斯基",""
"Андрей Борисенко","安德烈·鲍里先科",""
"Владимир Познер","小弗拉基米尔·波兹涅尔",""
"Юлианна Авдеева","尤利安娜·阿夫杰耶娃",""
"Юрий Симонов","尤里·西蒙诺夫",""
"Владимир Нейман","尼克尔斯基",""
"Николай Добрецов","尼古拉·多布列佐夫",""
"Николай Чхеидзе","尼古拉·齐赫泽",""
"Павел Беляев","帕维尔·别利亚耶夫",""
"Пётр Климук","彼得·克利穆克",""
"Пётр Чайковский","彼得·柴可夫斯基",""
"Дмитрий Васильев","德米特里·伊万诺维奇·瓦西里耶夫",""
"Рашид Сюняев","拉希德·苏尼亚耶夫",""
"Путин — хуйло!","普京是个傻屌",""
"Путлер","普特勒",""
"Григорий Бройдо","格里戈里·布罗伊多",""
"Достижения и статистика Марии Шараповой","玛丽亚·莎拉波娃生涯统计",""
"Владимир Воеводский","符拉基米尔·弗沃特斯基",""
"Михаил Цхакая","米哈伊尔·茨哈卡亚",""
"Михаил Аникушин","米哈伊尔·阿尼库申",""
"Милош Якеш","米洛什·雅克什",""
"Лосолын Лаган","罗索尔·拉甘",""
"Сергей Параджанов","谢尔盖·帕拉杰诺夫",""
"Джашарбек Узденов","贾沙尔别克·乌兹杰诺夫",""
"Алексей Клещёв","阿列克谢·克列晓夫",""
"Альфред Ярбус","阿尔弗雷德·雅布斯",""
"Алия Мустафина","阿莉娅·穆斯塔芬娜",""
"Яков Юровский","雅科夫·尤罗夫斯基",""
"Марк Мидлер","马克·米德勒",""
"Борис Яцкевич","鲍里斯·亚历山德罗维奇·亚茨克维奇",""
"Борис Березовский","鲍里斯·瓦季莫维奇·别列佐夫斯基",""
"Александр Лангфанг","亚历山大·朗格芳格",""
"Александр Хинштейн","亚历山大·欣施泰因",""
"Яна Лантратова","亚娜·兰特拉托娃",""
"Игорь Путин","伊戈尔·普京",""
"Ильдар Ахмеров","伊尔达尔·阿赫梅罗夫",""
"1997) Брат (фильм","兄弟 (1997年电影)",""
"Всероссийский референдум о введении поста президента РСФСР","关于引入俄罗斯总统职位的全俄公投",""
"Цезарь Куников","凯撒·库尼科夫",""
"Леонид Шараев","列昂尼德·沙拉耶夫",""
"Евгений Бареев","叶夫根尼·巴列耶夫",""
"Евгений Фёдоров","叶夫根尼·康斯坦丁诺维奇·费奥多罗夫",""
"Олег Говорун","奥列格·戈沃伦",""
"Тимофей Борщёв","季莫菲·米哈伊洛维奇·博尔谢夫",""
"Юрий Швыткин","尤里·什维特金",""
"Юрий Скоков","尤里·斯科科夫",""
"Юрий Олеша","尤里·阿廖莎",""
"Николай Игнатьев","尼古拉·伊格那提耶夫",""
"Николай Коломейцев","尼古拉·瓦西里耶维奇·科洛梅伊采夫",""
"Никифор Наталевич","尼基福尔·纳塔列维奇",""
"Куно Мольтке","库诺·冯·毛奇",""
"Владимир Муравьёв","弗拉基米尔·亚历山德罗维奇·穆拉维约夫",""
"Дмитрий Блохинцев","德米特里·布洛欣采夫",""
"Дмитрий Скобельцын","德米特里·斯科别利岑",""
"Геннадий Горбунов","根纳季·戈尔布诺夫",""
"Уральский федеральный университет","乌拉尔联邦大学",""
"Декларация о государственном суверенитете Эстонской ССР","爱沙尼亚主权宣言",""
"Мария Романова","玛丽亚·弗拉基米罗芙娜·罗曼诺娃",""
"Василий Соколовский","瓦西里·索科洛夫斯基",""
"Конни Полгрейв","科尼 (狗)",""
"Михаил Эльман","米沙·埃尔曼",""
"Иоханнес Семпер","约翰内斯·森佩尔",""
"Иоханнес Варес-Барбарус","约翰内斯·瓦列斯",""
"Натела Дзаламидзе","纳捷拉·扎拉米泽",""
"Вячеслав Петров","维亚切斯拉夫·彼得罗夫",""
"Фредерик VI","腓特烈六世 (丹麦)",""
"Сергей Казанков","谢尔盖·卡赞科夫",""
"Сергей Чижов","谢尔盖·奇若夫",""
"Сергей Сырцов","谢尔盖·瑟尔佐夫",""
"Алексей Троицкий","阿列克谢·特洛伊茨基",""
"Алексей Шибаев","阿列克谢·希巴耶夫",""
"Алексей Арбузов","阿列克谢·阿尔布佐夫",""
"Аполлон Петров","阿波隆·彼得罗夫",""
"Анатолий Пепеляев","阿纳托利·尼古拉耶维奇·佩佩利亚耶夫",""
"Анатолий Филипченко","阿纳托利·菲利普琴科",""
"Анастасия Максимова","阿纳斯塔西娅·马克西莫娃",""
"Арвидас Сабонис","阿维达斯·萨博尼斯",""
"Максимилиан Андронников","马克西米利安·安德龙尼科夫",""
"Опрос 3 марта 1991 года о независимости Латвии","1991年拉脱维亚独立和民主化公投",""
"Тбилисские события (1989)","4月9日惨案",""
"Денис Парфёнов","丹尼斯·帕尔菲奥诺夫",""
"Армейский комиссар 2-го ранга","二级集团军级政委",""
"Александр Мисуркин","亚历山大·米苏尔金",""
"Александр Никонов","亚历山大·尼科诺夫",""
"Иван Демченко","伊万·杰姆琴科",""
"Лев Оборин","列夫·奥博林",""
"Гюзель Манюрова","古泽尔·马纽罗娃",""
"Император Тайсё","大正天皇",""
"Андрей Платонов","安德烈·普拉东诺夫",""
"Юрий Любимов","尤里·彼得罗维奇·柳比莫夫",""
"Павел Ротмистров","帕维尔·罗特米斯特罗夫",""
"Хронология Евромайдана","广场起义时间轴",""
"Владимир Ивашов","弗拉基米尔·伊瓦绍夫",""
"Владимир Пентковский","弗拉基米尔·彭特科夫斯基",""
"Влас Чубарь","弗拉斯·丘巴尔",""
"Дмитрий Онуприенко","德米特里·奥努普里延科",""
"Рахиль Баумволь","拉希尔·巴乌姆沃利",""
"Фердинанд I (царь Болгарии)","斐迪南一世 (保加利亚)",""
"Станислав Кучера","斯坦尼斯拉夫·库切拉",""
"Станислав Островский","斯坦尼斯瓦夫·奥斯特洛夫斯基",""
"Портлендская шпионская сеть","波特兰间谍网",""
"Майя Чибурданидзе","玛雅·齐布尔达尼泽",""
"Василий Петров","瓦西里·彼得罗夫",""
"Мурат Зязиков","穆拉特·贾济科夫",""
"Михаил Тюрин","米哈伊尔·秋林",""
"Михаил Миль","米哈伊尔·米尔",""
"Мирза Гусейнов","米尔扎-达乌德·侯赛因诺夫",""
"Вячеслав Гладков","维亚切斯拉夫·格拉德科夫",""
"Виталий Догужиев","维塔利·多古日耶夫",""
"Елена Чуковская","叶莲娜·楚科夫斯卡娅",""
"Елена Лиховцева","叶连娜·利霍夫采娃",""
"Алексей Хомяков","阿列克谢·霍米亚科夫",""
"Альберт Макашов","阿尔伯特·马卡绍夫",""
"Артур Дмитриев","阿尔图尔·瓦列里耶维奇·德米特里耶夫",""
"Анатолий Баранов","阿纳托利·伊万诺维奇·巴拉诺夫",""
"Анатолий Бифов","阿纳托利·比福夫",""
"Анастасия Удальцова","阿纳斯塔西娅·乌达利佐娃",""
"Гуманитарные последствия войны в Донбассе","顿巴斯战争期间的人道主义危机",""
"Максим Кудрявцев","马克西姆·库德里亚夫采夫",""
"Борис Иванюженков","鲍里斯·伊万纽任科夫",""
"Борис Парыгин","鲍里斯·帕勒根",""
"Борис Асафьев","鲍里斯·阿萨菲耶夫",""
"Протесты в поддержку Алексея Навального (2021)","2021年俄罗斯示威",""
"Договор о ликвидации ракет средней и меньшей дальности","中程导弹条约",""
"Александр Зражевский","亚历山大·兹拉热夫斯基",""
"Александр Дзасохов","亚历山大·扎索霍夫",""
"Александр Винербергер","亚历山大·维内贝格",""
"Адам Делимханов","亚当·杰利姆哈诺夫",""
"Генрих Новожилов","亨里希·诺沃日洛夫",""
"Иван Дзюба","伊万·久巴",""
"Леонте Рэуту","列昂特·拉乌图",""
"Елена Евтюхова","叶连娜·叶夫秋霍娃",""
"Гия Канчели","吉雅·坎切利",""
"Олег Савченко","奥列格·弗拉基米罗维奇·萨夫琴科",""
"Олег Шатов","奥里格·沙托夫",""
"Тимофей Строкач","季莫费·斯特罗卡奇",""
"Юлиан Семёнов","尤利安·谢苗诺夫",""
"Юрий Маслюков","尤里·马斯柳科夫",""
"Николай Дурново","尼古拉·杜尔诺沃",""
"Константин Станиславский","康斯坦丁·斯坦尼斯拉夫斯基",""
"Владимир Гранат","弗拉基米尔·格拉纳特",""
"Владлен Михайлов","弗拉德连·米哈伊洛夫",""
"Ян Гамарник","扬·加马尔尼克",""
"Борис Рифтин","李福清",""
"Полина Яценко","波利娜·齐娅琴科",""
"Эдуард Пялль","爱德华·皮亚利",""
"Валерий Чекалов","瓦列里·切卡洛夫",""
"Вартан Аджемян","瓦尔丹·阿杰米扬",""
"Василий Пулькин","瓦西里·普利金",""
"Михаил Исаев","米哈伊尔·伊萨耶夫",""
"Михаил Казаков","米哈伊尔·卡扎科夫",""
"Михаил Шестаков","米哈伊尔·舍斯塔科夫",""
"Виталий Швец","维塔利·什韦茨",""
"Вера Фигнер","维拉·菲格纳",""
"Роман Васьянов","罗曼·瓦夏诺夫",""
"Аида Шанаева","艾达·恰纳耶娃",""
"Группа советских военных специалистов в Китае","苏联军事顾问团",""
"Елена Боннэр","叶连娜·邦纳",""
"Сергей Ерёмин","谢尔盖·叶廖明",""
"Сергей Шахрай","谢尔盖·沙赫赖",""
"Раиса Кармазина","赖莎·卡尔马津娜",""
"Айсиньгьоро Цзайфэн","载沣",""
"Дарья Касаткина","达里娅·卡萨特金娜",""
"Алексей Лавриненко","阿列克谢·拉夫里年科",""
"Артём Метелев","阿尔乔姆·梅捷列夫",""
"Альберт Менсдорф-Пули-Дитрихштейн","阿尔伯特·冯·门斯多夫-普伊-迪特里希施泰因",""
"Аркадий Володось","阿尔卡季·沃洛多斯",""
"Амин Ниязов","阿明·尼亚佐夫",""
"Эстонский референдум о независимости (1991)","1991年爱沙尼亚独立公投",""
"Александр Железняков","亚历山大·鲍里索维奇·热列兹尼亚科夫",""
"Дорогие товарищи!","亲爱的同志",""
"Илья Франк","伊利亚·弗兰克",""
"Игорь Пэн","伊戈尔·彭",""
"Исаак Бабель","伊萨克·巴别尔",""
"Леонид Карцев","列昂尼德·尼古拉耶维奇·卡尔采夫",""
"Ирина Левитина","列莉娜·列维蒂娜",""
"Галина Брежнева","加林娜·勃列日涅娃",""
"Гавриил Державин","加甫里尔·杰尔查文",""
"Октябрь (журнал)","十月 (俄文杂志)",""
"Ольга Баталина","奥莉加·巴塔林娜",""
"Ольга Ладыженская","奥莉加·拉德任斯卡娅",""
"Андрей Горохов","安德烈·尤里耶维奇·戈罗霍夫",""
"Андрей Громыко","安德烈·葛罗米柯",""
"Революция достоинства","尊严革命",""
"Юлий Харитон","尤里·哈里顿",""
"Юрий Норштейн","尤里·诺尔斯泰因",""
"Николай Лузин","尼古拉·卢津",""
"Никита Кримян","尼基塔·克里米扬",""
"Владимир Котенёв","弗拉基米尔·弗拉基米罗维奇·科捷尼奥夫",""
"Владимир Мартынов","弗拉基米尔·马丁诺夫",""
"Владимир Палей","弗拉基米尔·帕雷",""
"Всеволод Столетов","弗谢沃洛德·斯托列托夫",""
"Пётр Григоренко","彼得·格里戈连科",""
"Лазарь Каганович","拉扎尔·卡冈诺维奇",""
"Большой Ставропольский канал","斯塔夫罗波尔大运河",""
"Георгий Маленков","格奥尔基·马林科夫",""
"Григорий Пятигорский","格雷戈尔·皮亚季戈尔斯基",""
"1926) Мать (фильм","母亲 (1926年电影)",""
"Василий Небензя","瓦西里·涅边贾",""
"Медаль ордена «За заслуги перед Отечеством»","祖国功勋奖章",""
"Заур Геккиев","绍尔·格基耶夫",""
"Шаукат Галиев","萧卡特·加列耶夫",""
"Государственный Совет СССР","苏联国务委员会",""
"герцог Карл Шведский","西约特兰公爵卡尔王子",""
"Сергей Колунов","谢尔盖·科卢诺夫",""
"Ликвидаторы последствий аварии на Чернобыльской АЭС","车诺比清理人",""
"Афанасий Крымов","郭绍唐 (苏联)",""
"Ринат Дасаев","里纳特·达萨耶夫",""
"Ким Филби","金·费尔比",""
"Алексей Шитиков","阿列克谢·希季科夫",""
"Абдулгамид Эмиргамзаев","阿卜杜勒哈米德·埃米尔哈姆扎耶夫",""
"Людмила Белоусова","露德米拉·别洛乌索娃",""
"Борис Щербина","鲍里斯·谢尔比纳",""
"Поправки к Конституции России (2020)","2020年俄罗斯宪法修正案",""
"Александр Меткин","亚历山大·梅特金",""
"Иван Мичурин","伊万·米丘林",""
"Россия","俄罗斯",""
"Хайдар-хан Таривердиев","哈伊达尔·汗·阿穆奥克",""
"Олег Смолин","奥列格·斯莫林",""
"Олег Тиньков","奥列格·丁科夫",""
"Нина Попова","妮娜·波波娃",""
"Надежда Ильина","娜杰日达·列昂尼多芙娜·伊利英娜",""
"Анна Чакветадзе","安娜·查克韦塔泽",""
"Юлиан Мархлевский","尤利安·马尔赫利夫斯基",""
"Юрий Григорович","尤里·格里戈罗维奇",""
"Николай Семашко","尼古拉·亚历山德罗维奇·谢马什科",""
"Николай Скоблин","尼古拉·斯科布林",""
"Павел Погребняк","帕维尔·波格列布尼亚克",""
"Константин Островитянов","康斯坦丁·奥斯特罗维季扬诺夫",""
"Константин Нечаев","康斯坦丁·聂恰耶夫",""
"Владимир Комаров","弗拉基米尔·科马罗夫",""
"Владимир Рушайло","弗拉基米尔·鲁沙伊洛",""
"Эрнст Август Брауншвейгский","恩斯特·奥古斯特 (布蓝兹维公爵)",""
"Людмила Павличенко","柳德米拉·帕夫利琴科",""
"Геннадий Куприянов","根纳季·库普里亚诺夫",""
"Олег Дерипаска","欧柏嘉",""
"Шакир Карсыбаев","沙基尔·卡尔瑟巴耶夫",""
"Полина Жемчужина","波琳娜·热姆丘任娜",""
"Адмирал флота (СССР)","海军元帅 (苏联)",""
"Эдуард VII","爱德华七世",""
"Рышард Качоровский","理夏德·卡乔罗夫斯基",""
"Василий Кузнецов","瓦西里·伊万诺维奇·库兹涅佐夫",""
"Василий Лановой","瓦西里·兰诺沃伊",""
"Василий Жуковский","瓦西里·茹科夫斯基",""
"Михаил Дратвин","米哈伊尔·德拉特文",""
"Михаил Геловани","米哈伊尔·格洛瓦尼",""
"Михаил Шеремет","米哈伊尔·舍列梅特",""
"Наталья Нарышкина","纳塔利娅·基里洛芙娜·纳雷什金娜",""
"Вера Гедройц","维拉·吉德罗伊茨",""
"Саламат Мукашев","萨拉马特·穆卡舍夫",""
"Сергей Багапш","谢尔盖·巴加普什",""
"Сергей Алейников","谢尔盖·阿连尼哥夫",""
"Сергей Гусев","谢尔盖·古谢夫",""
"Семён Герштейн","谢苗·格施泰因",""
"Фёдор Толбухин","费奥多尔·托尔布欣",""
"Ринат Аюпов","里纳特·阿尤波夫",""
"Арам Хачатурян","阿拉姆·哈恰图良",""
"Артём Тарасов","阿尔乔姆·塔拉索夫",""
"Борис Черноусов","鲍里斯·切尔诺乌索夫",""
"Иван Парфёнов","伊万·帕尔菲奥诺夫",""
"Исаак Болеславский","伊萨克·博列斯拉夫斯基",""
"Пётр Николаевич","俄罗斯的彼得·尼古拉耶维奇大公",""
"Лев Гумилёв","列夫·古米廖夫",""
"Леонид Ивлев","列昂尼德·伊夫列夫",""
"Евгения Гинзбург","叶夫根尼娅·索洛莫诺夫娜·金兹堡",""
"Харитина Короткевич","哈里蒂娜·科罗特凯维奇",""
"Кирилл Ильяшенко","基里尔·伊利亚申科",""
"Вилли Мюнценберг","威廉·明岑贝格",""
"Андрей Кончаловский","安德烈·康查洛夫斯基",""
"Андрей Гетман","安德烈·格特曼",""
"Юрий Емельянов","尤里·叶梅利亚诺夫",""
"Николай Кручина","尼古拉·克鲁奇纳",""
"Владимир Уан-Зо-Ли","弗拉基米尔·王佐礼",""
"Дмитрий Клоков","德米特里·克洛科夫",""
"Дмитрий Богомолов","德米特里·鲍格莫洛夫",""
"Хочу перемен!","我想要改变！ (电影乐队歌曲)",""
"Рамон Меркадер","拉蒙·麦卡德",""
"Станислав Наумов","斯坦尼斯拉夫·瑙莫夫",""
"Степан Шаумян","斯捷潘·邵武勉",""
"Леонтина Коэн","洛娜·科恩",""
"Пантелеймон Пономаренко","潘捷列伊蒙·波诺马连科",""
"Мария Бочкарёва","玛丽亚·波奇卡列娃",""
"Валерий Зорькин","瓦列里·佐里金",""
"Василиса Степанова","瓦西莉萨·斯捷潘诺娃",""
"Мукаррам Тургунбаева","穆卡拉姆·图尔贡巴耶娃",""
"Концерт для фортепиано с оркестром № 1 (Чайковский)","第1钢琴协奏曲 (柴可夫斯基)",""
"Симфония № 5 (Чайковский)","第5号交响曲 (柴可夫斯基)",""
"Мирзамахмуд Мусаханов","米尔扎马哈茂德·穆萨哈诺夫",""
"София Позднякова","索菲娅·波兹尼亚科娃",""
"Иоханнес Кэбин","约翰内斯·凯宾",""
"Заур Аскендеров","绍尔·阿斯肯杰罗夫",""
"Виолетта Колобова","维奥莱塔·科洛博娃",""
"Роберт Шавлакадзе","罗伯特·沙夫拉卡泽",""
"XXVII съезд КПСС","苏联共产党第二十七次代表大会",""
"Молдогазы Токобаев","莫尔多加齐·托科巴耶夫",""
"Сергей Истомин","谢尔盖·伊斯托明 (音乐家)",""
"Сергей Авдеев","谢尔盖·阿夫杰耶夫",""
"Теймур Кулиев","铁穆尔·库里耶夫",""
"Архип Куинджи","阿尔希普·库因芝",""
"Азат Ягафаров","阿扎特·亚加法罗夫",""
"Анатолий Моцный","阿纳托利·莫茨尼",""
"Авдотья Панаева","阿芙朵嘉·雅科夫列夫娜·帕纳耶娃",""
"Максим Кац","马克西姆·卡茨",""
"Александр Карпинский","亚历山大·卡尔平斯基",""
"Александр Гучков","亚历山大·古契科夫",""
"Ядгар Насриддинова","亚德加尔·纳斯里丁诺娃",""
"Александр Иванов","亚历山大·安德烈耶维奇·伊万诺夫",""
"Яков Блиох","亚科夫·布利奥赫",""
"Ирина Евтушенко","伊琳娜·叶夫图申科",""
"Иван Крылов","伊万·克雷洛夫",""
"Золбингийн Шижээ","卓勒宾·希耶",""
"Артур Кассини","喀希尼",""
"Кирилл Евстигнеев","基里尔·耶斯迪尼耶夫",""
"Несколько дней из жизни И. И. Обломова","奥勃洛莫夫一生中的几天",""
"Стефан Франц Австрийский","奥地利的斯特凡大公 (匈牙利总督)",""
"Андрей Дорошенко","安德烈·多罗申科",""
"Андрей Жданов","安德烈·日丹诺夫",""
"Андрей Чернышов","安德烈·阿列克谢耶维奇·切尔内绍夫",""
"Юлия Борисова","尤利娅·鲍里索娃",""
"Юрий Шаргин","尤里·沙尔金",""
"Николай Боголюбов","尼古拉·伊万诺维奇·博戈柳博夫",""
"Николай Камов","尼古拉·卡莫夫",""
"Владимир Львов","弗拉基米尔·利沃夫",""
"Владимир Войнович","弗拉基米尔·沃伊诺维奇",""
"Владимир Сенин","弗拉基米尔·谢宁",""
"Рафаэль Сафаров","拉斐尔·萨法罗夫",""
"Пик Владимира Путина","普京峰",""
"Ян Хиншун","杨兴顺",""
"Герман Свешников","格尔曼·斯韦什尼科夫",""
"Шамсаил Саралиев","沙姆赛尔·萨拉利耶夫",""
"Марина Мукабенова","玛丽娜·穆卡别诺娃",""
"Василий Синайский","瓦西里·辛奈斯基",""
"Союз социал-демократов","社会民主人士联盟",""
"Михаил Калатозов","米哈伊尔·卡拉托佐夫",""
"Михаил Гирс","米哈伊尔·吉尔斯",""
"Михаил Бородин","米哈伊尔·鲍罗廷",""
"Вячеслав Малышев","维亚切斯拉夫·马雷舍夫",""
"Виктор Ногин","维克托·诺金",""
"Исаак Михновский","艾萨克·米克洛夫斯基",""
"Жумабек Ташенов","茹马别克·塔舍涅夫",""
"Екатерина Александрова","叶卡捷琳娜·亚历山德罗娃",""
"Вивиана Софроницкая","薇薇安娜·索夫罗尼茨基",""
"Сергей Ревин","谢尔盖·列温",""
"Гунтис Улманис","贡蒂斯·乌尔马尼斯",""
"Рейнгольд Глиэр","赖因霍尔德·格里埃尔",""
"Лео Борхард","里奥·波查德",""
"Анатолий Кузьмин","阿纳托利·库兹明",""
"Анатолий Ионов","阿纳托利·约诺夫",""
"Марк Захаров","马克·扎哈罗夫",""
"Борис Шахлин","鲍里斯·沙赫林",""
"Борис Ливанов","鲍里斯·利瓦诺夫",""
"Президентские выборы в России (2024)","2024年俄罗斯总统选举",""
"Александр Калери","亚历山大·卡列里",""
"Александр Бастрыкин","亚历山大·巴斯特雷金",""
"Александра Коллонтай","亚历山德拉·柯伦泰",""
"Иван Ковалёв","伊万·科瓦廖夫",""
"Ирек Богуславский","伊列克·博古斯拉夫斯基",""
"Натан Мильштейн","内森·米尔斯坦",""
"Леопольд II (король Бельгии)","利奥波德二世 (比利时)",""
"Карл Нессельроде","卡尔·涅谢尔罗迭",""
"Евгений Тарелкин","叶夫根尼·塔列尔金",""
"Елена Замолодчикова","叶连娜·扎莫洛奇科娃",""
"Зинаида Волкова","季娜伊达·沃尔科娃",""
"Андрей Чикатило","安德烈·齐卡提洛",""
"Юлия Оглоблина","尤利娅·奥格洛布林娜",""
"Юрий Ильенко","尤里·伊利延科",""
"Николай Будуев","尼古拉·布杜耶夫",""
"Константин Дэскэлеску","康斯坦丁·德斯克列斯库",""
"Владимир Высоцкий","弗拉基米尔·维索茨基",""
"Владимир Вернадский","弗拉基米尔·韦尔纳茨基",""
"Владислав Сурков","弗拉季斯拉夫·苏尔科夫",""
"Дмитрий Чечулин","德米特里·切丘林",""
"Станислав Поздняков","斯坦尼斯拉夫·波兹尼亚科夫",""
"Степан Оборин","斯捷潘·欧博林",""
"Джума Караев","朱玛·杜尔迪·卡拉耶夫",""
"Григорий Зиновьев","格里戈里·季诺维也夫",""
"Олег Протопопов","欧雷格·普罗托波波夫",""
"Гейнц Нейман","海因茨·诺伊曼",""
"Рихард Зорге","理查·佐尔格",""
"Валентин Юдашкин","瓦伦丁·尤达什金",""
"Валерьян Бжезинский","瓦列里安·布热津斯基",""
"Василий Стародубцев","瓦西里·斯塔罗杜布采夫",""
"Валентин Зубков","瓦连京·祖布科夫",""
"Зураб Макиев","祖拉布·马基耶夫",""
"Роман Широков","罗曼·希罗科夫",""
"Юлиус и Этель Розенберги","罗森堡夫妇",""
"Евгений Кисин","艾夫根尼·纪新",""
